Segment,Latitude,Longitude,Distance mt,Speed,Road_Segment,Time_to_one,Time_to_two,Time_to_three,Time_to_four,Time_to_destination
TH25/4,51.523098,-0.038274,10.43409409,0,Regular,Undefined,Undefined,Undefined,Undefined,Undefined
TH25/17,51.523149,-0.038004,37.72945998,9.45,Regular,Undefined,Undefined,Undefined,Undefined,Undefined
TH25/19,51.523041,-0.038471,39.09090797,0,Regular,Undefined,Undefined,Undefined,Undefined,Undefined
TH25/21,51.522737,-0.039775,94.37101482,7.96,Regular,Undefined,Undefined,Undefined,Undefined,Undefined
TH25/22,51.522793,-0.0398,6.732958481,8.7,Anomaly,10,26,33,45,52
TH25/23,51.523263,-0.039131,72.73073595,37.78,Regular,10,26,33,45,52
TH25/24,51.524487,-0.036489,237.4215628,33.34,Anomaly,10,26,33,45,52
TH25/25,51.524879,-0.035546,81.74254865,18.71,Regular,9,25,32,44,51
TH25/29,51.525117,-0.035015,28.27432671,18.71,Regular,8,24,31,43,50
TH25/30,51.525917,-0.035363,96.01044931,36.85,Regular,8,24,31,43,50
TH25/31,51.528166,-0.037627,307.4156153,40,Regular,8,24,31,43,50
TH25/32,51.529162,-0.038706,139.1408553,36.11,Regular,7,23,30,42,49
TH25/33,51.529965,-0.039488,108.7640523,4.07,Regular,7,23,30,42,49
TH25/34,51.530882,-0.040228,118.8651329,26.67,Regular,7,23,30,42,49
TH25/35,51.531856,-0.040806,120.2764673,32.41,Regular,7,23,30,42,49
TH25/36,51.532741,-0.04131,108.7665699,18.52,Regular,6,22,29,41,48
TH25/37,51.533015,-0.041535,35.64313779,0,Regular,6,22,29,41,48
TH25/38,51.533843,-0.039709,162.8359802,35,Regular,6,22,29,41,48
TH25/39,51.534215,-0.038351,106.9281895,8.52,Regular,5,21,28,40,47
TH25/40,51.534345,-0.036871,107.7085779,35.56,Anomaly,5,21,28,40,47
TH25/41,51.534769,-0.034771,159.0994854,40.37,Anomaly,5,21,28,40,47
TH25/42,51.535548,-0.031222,271.1953738,34.26,Regular,4,20,27,39,46
TH25/43,51.535785,-0.029522,125.5392812,26.85,Regular,4,20,27,39,46
TH25/44,51.535803,-0.02921,22.57883248,0,Regular,4,20,27,39,46
TH25/45,51.535858,-0.028617,43.20322895,0,Regular,3,19,26,38,45
TH25/48,51.535887,-0.028229,31.78082685,22.04,Regular,2,18,25,37,44
TH25/49,51.537317,-0.029056,176.0511595,10.37,Regular,2,18,25,37,44
TH25/50,51.537301,-0.029607,39.74630697,0,Regular,2,18,25,37,44
TH25/51,51.537153,-0.029573,17.31926689,4.82,Regular,2,18,25,37,44
TH25/52,51.537002,-0.029551,17.56433248,2.22,Regular,1,17,24,36,43
TH25/59,51.537214,-0.029365,26.31880192,14.45,Regular,Completed,16,23,35,42
TH25/60,51.536318,-0.028168,134.9570477,21.85,Regular,Completed,15,22,34,41
TH25/61,51.536071,-0.028029,30.31619406,10.19,Regular,Completed,15,22,34,41
TH25/62,51.535853,-0.028596,48.03215468,21.67,Regular,Completed,15,22,34,41
TH25/63,51.535653,-0.029518,70.36225758,6.67,Regular,Completed,15,22,34,41
TH25/64,51.535261,-0.032847,244.1459007,30.56,Regular,Completed,14,21,33,40
TH25/65,51.534899,-0.033911,87.39099332,10,Regular,Completed,14,21,33,40
TH25/66,51.533974,-0.033237,117.650189,21.85,Regular,Completed,14,21,33,40
TH25/72,51.533078,-0.032701,98.84225756,34.08,Regular,Completed,12,19,31,38
TH25/73,51.532665,-0.03249,50.20223616,0,Regular,Completed,12,19,31,38
TH25/77,51.532333,-0.032788,46.19856252,25,Regular,Completed,10,17,29,36
TH25/78,51.531885,-0.035474,200.4023393,0.74,Regular,Completed,10,17,29,36
TH25/79,51.531631,-0.036763,97.44094551,33.34,Regular,Completed,10,17,29,36
TH25/80,51.531264,-0.038702,146.059931,32.22,Regular,Completed,9,16,28,35
TH25/81,51.531153,-0.040418,124.3320585,27.59,Anomaly,Completed,9,16,28,35
TH25/82,51.532411,-0.04113,154.5024115,40.93,Regular,Completed,9,16,28,35
TH25/83,51.533063,-0.041669,84.93339428,17.59,Anomaly,Completed,9,16,28,35
TH25/84,51.532805,-0.042634,75.69188709,30.74,Regular,Completed,8,15,27,34
TH25/85,51.531415,-0.045492,261.4361421,22.41,Anomaly,Completed,8,15,27,34
TH25/86,51.531081,-0.047248,132.3308596,30,Regular,Completed,8,15,27,34
TH25/87,51.531131,-0.048219,70.21559672,19.08,Regular,Completed,7,14,26,33
TH25/88,51.531567,-0.049384,97.97876937,20.56,Regular,Completed,7,14,26,33
TH25/89,51.532185,-0.0513,155.5332647,11.3,Anomaly,Completed,7,14,26,33
TH25/90,51.532289,-0.051635,26.98088286,17.78,Regular,Completed,6,13,25,32
TH25/91,51.532746,-0.05303,113.617386,32.04,Regular,Completed,6,13,25,32
TH25/92,51.533182,-0.052292,73.34517085,4.82,Regular,Completed,6,13,25,32
TH25/93,51.53353,-0.052238,40.50155913,15.93,Regular,Completed,6,13,25,32
TH25/99,51.53375,-0.050936,107.0213583,30.19,Anomaly,Completed,4,11,23,30
TH25/100,51.533661,-0.050486,34.02752015,0,Regular,Completed,3,10,22,29
TH25/113,51.533275,-0.050898,53.98695654,26.11,Regular,Completed,Completed,7,19,26
TH25/114,51.533173,-0.05216,91.70773776,15.37,Regular,Completed,Completed,6,18,25
TH25/115,51.533046,-0.053721,113.4484042,30.19,Regular,Completed,Completed,6,18,25
TH25/116,51.532744,-0.055331,121.1820133,33.15,Regular,Completed,Completed,6,18,25
TH25/117,51.53258,-0.056516,87.48339432,0,Regular,Completed,Completed,5,17,24
TH25/119,51.532524,-0.056888,27.6516056,20.93,Regular,Completed,Completed,5,17,24
TH25/120,51.53095,-0.05649,184.5826248,0,Regular,Completed,Completed,4,16,23
TH25/122,51.530719,-0.057013,57.72971948,29.45,Anomaly,Completed,Completed,4,16,23
TH25/123,51.530306,-0.058182,96.88411228,26.3,Regular,Completed,Completed,4,16,23
TH25/124,51.529309,-0.061013,234.4483747,18.33,Regular,Completed,Completed,3,15,22
TH25/125,51.529044,-0.062047,80.59529625,27.59,Anomaly,Completed,Completed,3,15,22
TH25/126,51.528728,-0.063284,96.37347465,22.04,Anomaly,Completed,Completed,3,15,22
TH25/127,51.528474,-0.064794,112.7337624,20.93,Regular,Completed,Completed,2,14,21
TH25/128,51.527957,-0.066991,169.2880748,12.78,Regular,Completed,Completed,2,14,21
TH25/129,51.52722,-0.066856,85.93063745,18.89,Anomaly,Completed,Completed,2,14,21
TH25/130,51.52651,-0.066639,83.7239508,5.74,Anomaly,Completed,Completed,1,13,20
TH25/132,51.526271,-0.066088,41.27994388,2.59,Anomaly,Completed,Completed,1,13,20
TH25/133,51.525797,-0.065733,60.57925561,15.74,Anomaly,Completed,Completed,1,13,20
TH25/134,51.525817,-0.065366,26.55264992,0,Regular,Completed,Completed,0,12,19
TH25/139,51.525961,-0.064591,58.58560688,0,Regular,Completed,Completed,Completed,11,18
TH25/140,51.526214,-0.064625,29.41114103,0,Regular,Completed,Completed,Completed,10,17
TH25/142,51.5267,-0.062714,147.3790552,22.41,Regular,Completed,Completed,Completed,10,17
TH25/143,51.526835,-0.062049,50.41559137,0,Regular,Completed,Completed,Completed,10,17
TH25/145,51.526975,-0.06037,111.0978854,29.63,Regular,Completed,Completed,Completed,9,16
TH25/146,51.527317,-0.057142,235.9992836,23.52,Regular,Completed,Completed,Completed,9,16
TH25/147,51.527472,-0.056477,51.1811043,0,Regular,Completed,Completed,Completed,8,15
TH25/148,51.527505,-0.056003,34.37532713,21.85,Anomaly,Completed,Completed,Completed,8,15
TH25/149,51.525614,-0.055134,227.8411448,31.11,Regular,Completed,Completed,Completed,8,15
TH25/150,51.524863,-0.054892,88.73110399,22.96,Regular,Completed,Completed,Completed,7,14
TH25/151,51.523603,-0.054947,146.0189712,37.6,Regular,Completed,Completed,Completed,7,14
TH25/152,51.522858,-0.054995,86.37411025,0,Regular,Completed,Completed,Completed,7,14
TH25/154,51.522159,-0.055342,81.52652115,45.56,Regular,Completed,Completed,Completed,6,13
TH25/155,51.520906,-0.056132,155.9243429,15.74,Regular,Completed,Completed,Completed,6,13
TH25/156,51.520693,-0.056173,24.85141687,21.67,Regular,Completed,Completed,Completed,6,13
TH25/157,51.52033,-0.05658,51.27439863,0,Regular,Completed,Completed,Completed,5,12
TH25/158,51.520185,-0.05651,17.5390719,19.08,Regular,Completed,Completed,Completed,5,12
TH25/159,51.51934,-0.05593,106.4438667,27.59,Regular,Completed,Completed,Completed,5,12
TH25/160,51.51847,-0.055556,104.3290447,0,Regular,Completed,Completed,Completed,5,12
TH25/161,51.517737,-0.055165,89.47035188,30.37,Anomaly,Completed,Completed,Completed,4,11
TH25/162,51.516703,-0.055206,119.8205572,22.22,Regular,Completed,Completed,Completed,4,11
TH25/163,51.515844,-0.055322,99.86190953,25.37,Anomaly,Completed,Completed,Completed,4,11
TH25/164,51.514406,-0.055667,168.4320766,3.52,Anomaly,Completed,Completed,Completed,3,10
TH25/165,51.51428,-0.054099,113.9798986,27.22,Regular,Completed,Completed,Completed,3,10
TH25/166,51.514286,-0.053713,27.83651053,0,Regular,Completed,Completed,Completed,3,10
TH25/167,51.514226,-0.052594,80.97080602,39.08,Regular,Completed,Completed,Completed,2,9
TH25/168,51.513468,-0.047835,354.1519064,44.63,Regular,Completed,Completed,Completed,2,9
TH25/169,51.513229,-0.045303,184.6305496,46.49,Regular,Completed,Completed,Completed,2,9
TH25/170,51.513194,-0.04312,157.4345634,26.3,Regular,Completed,Completed,Completed,2,9
